S	96700000	10606	2022	C_PROGRAMACION_DE_GASTOS
D	2.1.1.01.01.001.01	1	1.0	0.0	982732267.00	982732267.00
D	2.1.1.01.01.001.04	1	1.0	0.0	2522300.00	2522300.00
D	2.1.1.01.01.001.05	1	1.0	0.0	4077549.00	4077549.00
D	2.1.1.01.01.001.06	1	1.0	0.0	42449055.00	42449055.00
D	2.1.1.01.01.001.07	1	1.0	0.0	31560474.00	31560474.00
D	2.1.1.01.01.001.08.01	1	1.0	0.0	88742599.00	88742599.00
D	2.1.1.01.01.001.08.02	1	1.0	0.0	44217766.00	44217766.00
D	2.1.1.01.01.001.10	1	1.0	0.0	6000000.00	6000000.00
D	2.1.1.01.02.001	1	1.0	0.0	201460113.00	201460113.00
D	2.1.1.01.02.003	1	1.0	0.0	111457430.00	111457430.00
D	2.1.1.01.02.004	1	1.0	0.0	39309291.00	39309291.00
D	2.1.1.01.02.005	1	1.0	0.0	31152411.00	31152411.00
D	2.1.1.01.02.006	1	1.0	0.0	29481968.00	29481968.00
D	2.1.1.01.02.007	1	1.0	0.0	19654645.00	19654645.00
D	2.1.1.01.03.001.01	1	1.0	0.0	64852723.00	64852723.00
D	2.1.1.01.03.001.03	1	1.0	0.0	8559624.00	8559624.00
D	2.1.2.01.01.003.03.01	1	1.0	0.0	12000000.00	12000000.00
D	2.1.2.02.01	1	1.0	0.0	148490557.00	148490557.00
D	2.1.2.02.02	1	1.0	0.0	6800000.00	6800000.00
D	2.1.2.02.02.006	1	1.0	0.0	85375440.00	85375440.00
D	2.1.2.02.02.007	1	1.0	0.0	42000000.00	42000000.00
D	2.1.2.02.02.008	1	1.0	0.0	875894826.00	863566187.00
D	2.1.2.02.02.009	1	1.0	0.0	6400000.00	6400000.00
D	2.1.3.13.01.001	1	1.0	0.0	205812805.00	205812805.00
D	2.1.8.04.01	1	1.0	0.0	9800000.00	22128639.00
D	2.2.1.03	1	1.0	0.0	1300000.00	1300000.00
D	2.99	1	1.0	0.0	340000000.00	340000000.00
D	2.99	1	1.0	0.0	460000000.00	460000000.00
D	2.99	1	1.0	0.0	50000000.00	50000000.00
