S	96700000	10606	2022	D_EJECUCION_DE_GASTOS
D	2.1.1.01.01.001.01	1	1.0	0.0	0	1.2.1.0.00	C	0	1	457765003.06	457765003.06	457765003.06
D	2.1.1.01.01.001.04	1	1.0	0.0	0	1.2.1.0.00	C	0	1	1162051.20	1162051.20	1162051.20
D	2.1.1.01.01.001.05	1	1.0	0.0	0	1.2.1.0.00	C	0	1	2007546.60	2007546.60	2007546.60
D	2.1.1.01.01.001.06	1	1.0	0.0	0	1.2.1.0.00	C	0	1	40372477.00	40372477.00	40372477.00
D	2.1.1.01.01.001.07	1	1.0	0.0	0	1.2.1.0.00	C	0	1	2382756.00	2382756.00	2382756.00
D	2.1.1.01.01.001.08.01	1	1.0	0.0	0	1.2.1.0.00	C	0	1	3075896.00	3075896.00	3075896.00
D	2.1.1.01.01.001.08.02	1	1.0	0.0	0	1.2.1.0.00	C	0	1	1783288.00	1783288.00	1783288.00
D	2.1.1.01.02.001	1	1.0	0.0	0	1.2.1.0.00	C	0	1	97619600.00	97619600.00	82593200.00
D	2.1.1.01.02.003	1	1.0	0.0	0	1.2.1.0.00	C	0	1	3629235.00	3629235.00	3629235.00
D	2.1.1.01.02.004	1	1.0	0.0	0	1.2.1.0.00	C	0	1	19051500.00	19051500.00	16118800.00
D	2.1.1.01.02.005	1	1.0	0.0	0	1.2.1.0.00	C	0	1	16730700.00	16730700.00	14374500.00
D	2.1.1.01.02.006	1	1.0	0.0	0	1.2.1.0.00	C	0	1	14290900.00	14290900.00	12091100.00
D	2.1.1.01.02.007	1	1.0	0.0	0	1.2.1.0.00	C	0	1	9529400.00	9529400.00	8062300.00
D	2.1.1.01.03.001.01	1	1.0	0.0	0	1.2.1.0.00	C	0	1	5391928.00	5391928.00	5391928.00
D	2.1.1.01.03.001.03	1	1.0	0.0	0	1.2.1.0.00	C	0	1	191811.00	191811.00	191811.00
D	2.1.2.02.01	1	1.0	0.0	0	1.2.1.0.00	C	0	1	12548600.00	3681600.00	3681600.00
D	2.1.2.02.02	1	1.0	0.0	0	1.2.1.0.00	C	0	1	369588.00	369588.00	369588.00
D	2.1.2.02.02.006	1	1.0	0.0	0	1.2.1.0.00	C	0	1	33938817.70	33938817.70	33938817.70
D	2.1.2.02.02.007	1	1.0	0.0	0	1.2.1.0.00	C	0	1	35800000.00	14800000.00	14800000.00
D	2.1.2.02.02.008	1	1.0	0.0	0	1.2.1.0.00	C	0	1	544612145.80	251845368.78	251845368.78
D	2.1.8.04.01	1	1.0	0.0	0	1.2.1.0.00	C	0	1	22128639.00	22128639.00	22128639.00
D	2.3.2.02.02.005	1	1.0	0.0	0	1.2.1.0.00	C	0	1	317384000.00	257774000.00	257774000.00
D	2.3.2.02.02.008	1	1.0	0.0	0	1.2.1.0.00	C	0	1	205344888.00	164624888.00	164624888.00
D	2.3.2.02.02.009	1	1.0	0.0	0	1.2.1.0.00	C	0	1	13680000.00	13680000.00	13680000.00
